model,lambda,gamma,rho_pi_r0sq,N,peak_time_mean,peak_time_std,peak_magnitude_mean,peak_magnitude_std,extinction_time_mean,extinction_time_std,percolation_prob,percolation_stderr,mse_vs_sars
hub,0.2,0.5,10,318,6.487,4.0632291345677265,40.975,21.192790637384213,17.546,7.87222230377166,0.81,0.012405643876881197,nan
hub,0.2,0.5,15,477,5.924,2.101481382263474,97.366,25.97714464678518,17.154,4.223539274115963,0.948,0.007021111023192843,nan
hub,0.2,0.5,20,637,5.253,1.354618396449716,157.178,26.69060351509497,16.847,2.8954431439764106,0.983,0.004087909000944127,nan
hub,0.2,0.7,10,318,5.784,4.2063456824184104,35.57,22.170320250280554,14.396,7.700985910907772,0.736,0.013939296969359681,nan
hub,0.2,0.7,15,477,5.7,2.258760722166029,93.584,31.039248444509735,13.482,3.8253988027393957,0.916,0.008771772910877251,nan
hub,0.2,0.7,20,637,5.218,1.4186176369973693,155.865,29.901885810095656,13.027,2.402555098223556,0.975,0.004937104414532877,nan
hub,0.2,1.0,10,318,5.197,4.532570021522006,28.588,21.077624534088276,12.603,8.176392297339946,0.655,0.015032464867745409,nan
hub,0.2,1.0,15,477,5.524,2.476171238020505,87.612,34.46266756941488,11.152,3.7537842239532093,0.881,0.010239091756596383,nan
hub,0.2,1.0,20,637,5.175,1.5913437717853425,151.759,35.85034057020937,10.093,2.188687049351734,0.958,0.006343185319695463,nan
hub,0.4,0.3,10,318,5.042,1.993046913647544,71.047,21.092908547661224,23.021,6.75089320016248,0.932,0.00796090447122687,nan
hub,0.4,0.3,15,477,4.358,1.1401035040732048,133.596,22.51667790771987,24.143,4.864416820133735,0.981,0.004317290817167639,10.076679528445919
hub,0.4,0.3,20,637,3.945,0.8865523109213579,198.511,23.30600521324922,24.79,4.265430810598151,0.993,0.002636474919281427,nan
hub,0.4,0.5,10,318,4.725,2.132457502507377,67.199,24.86864288617294,14.815,5.044677888626785,0.893,0.009775019181566856,nan
hub,0.4,0.5,15,477,4.315,1.2529066206226225,131.289,26.685529393287293,15.364,3.190220055105917,0.969,0.005480784615363026,10.281592060699554
hub,0.4,0.5,20,637,3.934,0.8863656130514089,197.206,24.887257060592276,15.451,2.3911501416682306,0.991,0.0029864694875387575,nan
hub,0.4,0.7,10,318,4.452,2.2044718188264505,62.921,27.198910989228963,11.251,4.248058262312323,0.855,0.011134406135937382,nan
hub,0.4,0.7,15,477,4.211,1.307852820465667,128.777,31.210563452139084,11.468,2.519717444476662,0.953,0.00669260786241059,10.355870027818728
hub,0.4,0.7,20,637,3.932,0.93347522730922,196.879,28.090111409533428,11.527,1.7422029158510783,0.987,0.0035820385257559714,nan
hub,0.4,1.0,10,318,4.24,2.3728463919942224,58.45,29.110745438755085,9.139,3.9372171644449585,0.813,0.012330085157856779,nan
hub,0.4,1.0,15,477,4.161,1.4018127549712194,126.63,34.50833377606053,8.479,2.0063795752548916,0.939,0.007568289106528638,10.506454108404023
hub,0.4,1.0,20,637,3.865,1.0279956225587734,193.431,35.0117585819393,8.007,1.3729351769111315,0.975,0.004937104414532877,nan
